date,safe_to_trade,risk_level,alerts_count,alerts
2025-06-27,True,LOW,0,âœ… Safe to trade
2025-06-28,True,LOW,0,âœ… Safe to trade
2025-06-29,True,LOW,0,âœ… Safe to trade
2025-06-30,True,LOW,0,âœ… Safe to trade
2025-07-01,True,LOW,0,âœ… Safe to trade
2025-07-02,True,LOW,0,âœ… Safe to trade
2025-07-03,True,LOW,0,âœ… Safe to trade
2025-07-04,True,LOW,0,âœ… Safe to trade
2025-07-05,True,LOW,0,âœ… Safe to trade
2025-07-06,True,LOW,0,âœ… Safe to trade
2025-07-07,True,LOW,0,âœ… Safe to trade
2025-07-08,True,LOW,0,âœ… Safe to trade
2025-07-09,True,LOW,0,âœ… Safe to trade
2025-07-10,True,LOW,0,âœ… Safe to trade
2025-07-11,True,LOW,0,âœ… Safe to trade
2025-07-12,True,LOW,0,âœ… Safe to trade
2025-07-13,True,LOW,0,âœ… Safe to trade
2025-07-14,True,LOW,0,âœ… Safe to trade
2025-07-15,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-16,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-17,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-18,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-19,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-20,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-21,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-22,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-23,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-24,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-25,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-26,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-27,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-28,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-07-30 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-29,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-07-30 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-30,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-07-30 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-07-31,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-07-30 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-01,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-07-30 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-02,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-03,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-04,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-05,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-06,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-07,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-08,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-09,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-10,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-11,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-12,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-13,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-14,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-15,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-07-15 â†’ 2025-08-15
2025-08-16,True,LOW,0,âœ… Safe to trade
2025-08-17,True,LOW,0,âœ… Safe to trade
2025-08-18,True,LOW,0,âœ… Safe to trade
2025-08-19,True,LOW,0,âœ… Safe to trade
2025-08-20,True,LOW,0,âœ… Safe to trade
2025-08-21,True,LOW,0,âœ… Safe to trade
2025-08-22,True,LOW,0,âœ… Safe to trade
2025-08-23,True,LOW,0,âœ… Safe to trade
2025-08-24,True,LOW,0,âœ… Safe to trade
2025-08-25,True,LOW,0,âœ… Safe to trade
2025-08-26,True,LOW,0,âœ… Safe to trade
2025-08-27,True,LOW,0,âœ… Safe to trade
2025-08-28,True,LOW,0,âœ… Safe to trade
2025-08-29,True,LOW,0,âœ… Safe to trade
2025-08-30,True,LOW,0,âœ… Safe to trade
2025-08-31,True,LOW,0,âœ… Safe to trade
2025-09-01,True,LOW,0,âœ… Safe to trade
2025-09-02,True,LOW,0,âœ… Safe to trade
2025-09-03,True,LOW,0,âœ… Safe to trade
2025-09-04,True,LOW,0,âœ… Safe to trade
2025-09-05,True,LOW,0,âœ… Safe to trade
2025-09-06,True,LOW,0,âœ… Safe to trade
2025-09-07,True,LOW,0,âœ… Safe to trade
2025-09-08,True,LOW,0,âœ… Safe to trade
2025-09-09,True,LOW,0,âœ… Safe to trade
2025-09-10,True,LOW,0,âœ… Safe to trade
2025-09-11,True,LOW,0,âœ… Safe to trade
2025-09-12,True,LOW,0,âœ… Safe to trade
2025-09-13,True,LOW,0,âœ… Safe to trade
2025-09-14,True,LOW,0,âœ… Safe to trade
2025-09-15,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-09-17 (Â±2 dÃ­as)
2025-09-16,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-09-17 (Â±2 dÃ­as)
2025-09-17,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-09-17 (Â±2 dÃ­as)
2025-09-18,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-09-17 (Â±2 dÃ­as)
2025-09-19,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-09-17 (Â±2 dÃ­as)
2025-09-20,True,LOW,0,âœ… Safe to trade
2025-09-21,True,LOW,0,âœ… Safe to trade
2025-09-22,True,LOW,0,âœ… Safe to trade
2025-09-23,True,LOW,0,âœ… Safe to trade
2025-09-24,True,LOW,0,âœ… Safe to trade
2025-09-25,True,LOW,0,âœ… Safe to trade
2025-09-26,True,LOW,0,âœ… Safe to trade
2025-09-27,True,LOW,0,âœ… Safe to trade
2025-09-28,True,LOW,0,âœ… Safe to trade
2025-09-29,True,LOW,0,âœ… Safe to trade
2025-09-30,True,LOW,0,âœ… Safe to trade
2025-10-01,True,LOW,0,âœ… Safe to trade
2025-10-02,True,LOW,0,âœ… Safe to trade
2025-10-03,True,LOW,0,âœ… Safe to trade
2025-10-04,True,LOW,0,âœ… Safe to trade
2025-10-05,True,LOW,0,âœ… Safe to trade
2025-10-06,True,LOW,0,âœ… Safe to trade
2025-10-07,True,LOW,0,âœ… Safe to trade
2025-10-08,True,LOW,0,âœ… Safe to trade
2025-10-09,True,LOW,0,âœ… Safe to trade
2025-10-10,True,MEDIUM,1,âš¡ MARKET GAP: -2.70% (threshold 2%)
2025-10-11,True,LOW,0,âœ… Safe to trade
2025-10-12,True,LOW,0,âœ… Safe to trade
2025-10-13,True,LOW,0,âœ… Safe to trade
2025-10-14,True,LOW,0,âœ… Safe to trade
2025-10-15,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-16,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-17,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-18,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-19,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-20,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-21,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-22,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-23,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-24,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-25,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-26,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-27,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-28,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-29,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-30,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-10-31,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-01,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-02,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-03,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-11-05 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-04,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-11-05 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-05,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-11-05 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-06,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-11-05 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-07,False,CRITICAL,2,âš ï¸  FOMC Meeting: 2025-11-05 (Â±2 dÃ­as) | ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-08,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-09,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-10,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-11,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-12,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-13,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-14,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-15,True,MEDIUM,1,ğŸ“Š EARNINGS SEASON: 2025-10-15 â†’ 2025-11-15
2025-11-16,True,LOW,0,âœ… Safe to trade
2025-11-17,True,LOW,0,âœ… Safe to trade
2025-11-18,True,LOW,0,âœ… Safe to trade
2025-11-19,True,LOW,0,âœ… Safe to trade
2025-11-20,True,LOW,0,âœ… Safe to trade
2025-11-21,True,LOW,0,âœ… Safe to trade
2025-11-22,True,LOW,0,âœ… Safe to trade
2025-11-23,True,LOW,0,âœ… Safe to trade
2025-11-24,True,LOW,0,âœ… Safe to trade
2025-11-25,True,LOW,0,âœ… Safe to trade
2025-11-26,True,LOW,0,âœ… Safe to trade
2025-11-27,True,LOW,0,âœ… Safe to trade
2025-11-28,True,LOW,0,âœ… Safe to trade
2025-11-29,True,LOW,0,âœ… Safe to trade
2025-11-30,True,LOW,0,âœ… Safe to trade
2025-12-01,True,LOW,0,âœ… Safe to trade
2025-12-02,True,LOW,0,âœ… Safe to trade
2025-12-03,True,LOW,0,âœ… Safe to trade
2025-12-04,True,LOW,0,âœ… Safe to trade
2025-12-05,True,LOW,0,âœ… Safe to trade
2025-12-06,True,LOW,0,âœ… Safe to trade
2025-12-07,True,LOW,0,âœ… Safe to trade
2025-12-08,True,LOW,0,âœ… Safe to trade
2025-12-09,True,LOW,0,âœ… Safe to trade
2025-12-10,True,LOW,0,âœ… Safe to trade
2025-12-11,True,LOW,0,âœ… Safe to trade
2025-12-12,True,LOW,0,âœ… Safe to trade
2025-12-13,True,LOW,0,âœ… Safe to trade
2025-12-14,True,LOW,0,âœ… Safe to trade
2025-12-15,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-12-17 (Â±2 dÃ­as)
2025-12-16,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-12-17 (Â±2 dÃ­as)
2025-12-17,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-12-17 (Â±2 dÃ­as)
2025-12-18,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-12-17 (Â±2 dÃ­as)
2025-12-19,False,HIGH,1,âš ï¸  FOMC Meeting: 2025-12-17 (Â±2 dÃ­as)
2025-12-20,True,LOW,0,âœ… Safe to trade
2025-12-21,True,LOW,0,âœ… Safe to trade
2025-12-22,True,LOW,0,âœ… Safe to trade
2025-12-23,True,LOW,0,âœ… Safe to trade
2025-12-24,True,LOW,0,âœ… Safe to trade
2025-12-25,True,LOW,0,âœ… Safe to trade
2025-12-26,True,LOW,0,âœ… Safe to trade
2025-12-27,True,LOW,0,âœ… Safe to trade
2025-12-28,True,LOW,0,âœ… Safe to trade
2025-12-29,True,LOW,0,âœ… Safe to trade
2025-12-30,True,LOW,0,âœ… Safe to trade
2025-12-31,True,LOW,0,âœ… Safe to trade
